Row	Column	NT	Info
1	1	NT12017	
1	2	NT12098	
1	3	NT12045	
1	4	NT12100	
1	5	NT12018	
1	6	NT12099	
1	7	NT12008	
1	8	NT12169	
1	9	NT12019	
1	10	NT12100	
1	11	NT12015	
1	12	NT12127	
1	13	NT12020	
1	14	NT12101	
1	15	NT12036	
1	16	NT12177	
1	17	NT12021	
1	18	NT12102	
1	19	NT12076	
1	20	NT12167	
1	21	NT12022	
1	22	NT12103	
1	23	NT12064	
1	24	NT12174	
1	25	NT12023	
1	26	NT12104	
1	27	NT12026	
1	28	NT12151	
1	29	NT12024	
1	30	NT12105	
1	31	NT12089	
1	32	NT12164	
1	33	NT12025	
1	34	NT12106	
1	35	NT12053	
1	36	NT12097	
1	37	NT12026	
1	38	NT12107	
1	39	NT12022	
1	40	NT12140	
1	41	NT12027	
1	42	NT12108	
1	43	NT12006	
1	44	NT12132	
1	45	NT12028	
1	46	NT12109	
1	47	NT12073	
1	48	NT12141	
2	1	NT12294	
2	2	NT12344	
2	3	NT12223	
2	4	NT12417	
2	5	NT12295	
2	6	NT12345	
2	7	NT12214	
2	8	NT12439	
2	9	NT12296	
2	10	NT12346	
2	11	NT12306	
2	12	NT12374	
2	13	NT12297	
2	14	NT12347	
2	15	NT12224	
2	16	NT12349	
2	17	NT12298	
2	18	NT12348	
2	19	NT12331	
2	20	NT12412	
2	21	NT12299	
2	22	NT12349	
2	23	NT12217	
2	24	NT12407	
2	25	NT12300	
2	26	NT12350	
2	27	NT12294	
2	28	NT12376	
2	29	NT12301	
2	30	NT12351	
2	31	NT12329	
2	32	NT12429	
2	33	NT12302	
2	34	NT12352	
2	35	NT12300	
2	36	NT12404	
2	37	NT12303	
2	38	NT12353	
2	39	NT12341	
2	40	NT12363	
2	41	NT12304	
2	42	NT12354	
2	43	NT12338	
2	44	NT12387	
2	45	NT12305	
2	46	NT12355	
2	47	NT12202	
2	48	NT12377	
3	1	NT12096	
3	2	NT12192	
3	3	NT12005	
3	4	NT12185	
3	5	NT12095	
3	6	NT12191	
3	7	NT12034	
3	8	NT12118	
3	9	NT12094	
3	10	NT12190	
3	11	NT12057	
3	12	NT12109	
3	13	NT12093	
3	14	NT12189	
3	15	NT12096	
3	16	NT12175	
3	17	NT12092	
3	18	NT12188	
3	19	NT12032	
3	20	NT12184	
3	21	NT12091	
3	22	NT12187	
3	23	NT12012	
3	24	NT12122	
3	25	NT12090	
3	26	NT12186	
3	27	NT12074	
3	28	NT12120	
3	29	NT12089	
3	30	NT12185	
3	31	NT12004	
3	32	NT12139	
3	33	NT12016	
3	34	NT12184	
3	35	NT12024	
3	36	NT12179	
3	37	NT12015	
3	38	NT12183	
3	39	NT12056	
3	40	NT12125	
3	41	NT12014	
3	42	NT12182	
3	43	NT12070	
3	44	NT12119	
3	45	NT12013	
3	46	NT12181	
3	47	NT12079	
3	48	NT12099	
4	1	NT12233	
4	2	NT12439	
4	3	NT12330	
4	4	NT12366	
4	5	NT12232	
4	6	NT12438	
4	7	NT12318	
4	8	NT12432	
4	9	NT12231	
4	10	NT12437	
4	11	NT12302	
4	12	NT12411	
4	13	NT12230	
4	14	NT12436	
4	15	NT12296	
4	16	NT12390	
4	17	NT12229	
4	18	NT12435	
4	19	NT12301	
4	20	NT12346	
4	21	NT12228	
4	22	NT12434	
4	23	NT12196	
4	24	NT12367	
4	25	NT12227	
4	26	NT12433	
4	27	NT12227	
4	28	NT12436	
4	29	NT12226	
4	30	NT12432	
4	31	NT12303	
4	32	NT12410	
4	33	NT12225	
4	34	NT12431	
4	35	NT12210	
4	36	NT12348	
