C1	C2	A	B	C
A22	C1	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
A22	C2	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
A22	C3	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
A22	C4	Inc_plate8/Oct_16	-	-
Am	C1	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
Am	C2	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
Am	C3	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
Am	C4	-	-	-
Amk	Prc	Inc_27hrs/Oct_28	Inc_46hrs/Nov_14	Inc_28hrs/Nov_05
Bzk	Clx	Inc_25hrs/Sep_26	Inc_plate8/Oct_16	-
Bzk	Min	-	-	-
Bzk	PlB	Inc_25hrs/Sep_26	Inc_24hrs/Oct_27	-
Bzk	Prc	Inc_30hrs/Oct_27	Inc_27hrs/Oct_28	-
Cef	Amx	Inc_24hrs/Sep_20	Inc_plate8/Oct_16	-
Cef	Azt	-	-	-
Cef	Cfc	Inc_24hrs/Sep_20	Inc_plate8/Oct_16	-
Cef	Cft	-	-	-
Cef	Im	Inc_28hrs/Nov_05	-	-
Cef	Mcl	Inc_27hrs/Oct_28	Inc_28hrs/Nov_05	Inc_P825hrs/Nov_24
Cef	Ppr	Inc_24hrs/Sep_20	Inc_plate8/Oct_16	-
Ci	C1	Inc_plate8/Oct_16	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
Ci	C2	-	Inc_P825hrs/Nov_24	Inc_P825hrs/Nov_24
Ci	C3	-	-	-
Ci	C4	-	-	-
Cld	Tmt	Inc_24hrs/Oct_27	-	-
Cm	Ert	Inc_28hrs/Nov_05	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
Cm	Rfm	Inc_28hrs/Nov_05	Inc_27hrs/Nov_13	-
Cyd	Cef	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
Dox	Crt	-	-	-
Dox	Ffm	-	-	-
Dox	Mcl	-	-	-
Dox	Pms	-	Inc_28hrs/Nov_05	Inc_24hrs/Nov_05
Dox	Pq	Inc_24hrs/Oct_27	Inc_27hrs/Oct_28	-
Dox	Py	Inc_28hrs/Nov_05	Inc_24hrs/Oct_27	Inc_28hrs/Nov_05
Dox	Van	Inc_24hrs/Oct_27	Inc_27hrs/Oct_28	-
Fsa	Van	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
Fu	Pq	Inc_coldnobbls/Nov_07	Inc_nobubles/Nov_26	Inc_anaer/Nov_12
Fu	Uv	Inc_nobubles/Nov_26	-	-
Kno	Bs	-	-	-
Kno	Fu	-	-	-
Kno	Pq	-	-	-
Kno	Uv	-	-	-
Lb	4as	Inc_28hrs/Sep_17	Inc_28hrs/Sep_19	-
Lb	5br	Inc_24hrs/Sep_20	Inc_24hrs/Oct_16	Inc_plate8/Oct_16
Lb	5sf	Inc_32hrs/Sep_26	Inc_29hrs/Oct_27	-
Lb	A22	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
Lb	Art	Inc_30hrs/Sep_25	Inc_plate8/Oct_16	-
Lb	Bbn	Inc_24hrs/Oct_27	Inc_27hrs/Oct_28	Inc_28hrs/Nov_05
Lb	Bl	Inc_28hrs/Sep_17	Inc_27hrs/Sep_18	Inc_25hrs/Sep_19
Lb	Bp	Inc_28hrs/Sep_17	Inc_27hrs/Sep_18	Inc_24hrs/Sep_17
Lb	Bs	Inc_29hrs/Oct_27	Inc_27hrs/Oct_28	-
Lb	Bzk	Inc_24hrs/Oct_27	Inc_P825hrs/Nov_24	-
Lb	Cbz	Inc_24hrs/Sep_18	Inc_plate8/Oct_16	Inc_25hrs/Sep_26
Lb	Cccp	Inc_29hrs/Oct_27	Inc_30hrs/Oct_27	-
Lb	Cef	Inc_25hrs/Sep_19	Inc_plate8/Oct_16	Inc_plate8/Oct_16
Lb	Chir	Inc_24hrs/Oct_27	Inc_24hrs/Oct_27	-
Lb	Cld	Inc_24hrs/Sep_18	Inc_plate8/Oct_16	Inc_25hrs/Sep_26
Lb	Clx	Inc_27hrs/Sep_18	Inc_24hrs/Sep_18	Inc_24hrs/Sep_25
Lb	Cnx	-	Inc_28hrs/Sep_19	-
Lb	Com	Inc_plate8/Oct_16	Inc_24hrs/Oct_16	Inc_P825hrs/Nov_24
Lb	Cph	Inc_24hrs/Sep_18	Inc_plate8/Oct_16	Inc_25hrs/Sep_26
Lb	Cpt	-	-	-
Lb	Cum	Inc_25hrs/Sep_19	Inc_30hrs/Sep_25	Inc_24hrs/Sep_20
Lb	Dox	Inc_24hrs/Oct_27	Inc_27hrs/Oct_28	-
Lb	Dpa	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13	Inc_27hrs/Nov_13
Lb	Fu	Inc_coldnobbls/Nov_07	Inc_anaer/Nov_12	-
Lb	G418	-	Inc_24hrs/Sep_25	-
Lb	Gra	Inc_25hrs/Sep_19	Inc_30hrs/Sep_25	Inc_24hrs/Sep_20
Lb	Im	Inc_28hrs/Sep_19	Inc_30hrs/Sep_25	Inc_24hrs/Sep_20
Lb	Kno	-	-	-
Lb	Lid	Inc_29hrs/Oct_27	Inc_27hrs/Oct_28	Inc_27hrs/Oct_28
Lb	Mcl	-	-	Inc_24hrs/Sep_20
Lb	MetA	-	-	-
Lb	MetB	Inc_48hrs/Oct_28	-	-
Lb	MetC	-	Inc_33.5hrs/Oct_28	-
Lb	MetD	Inc_29hrs/Oct_27	Inc_35hrs/Nov_05B	Inc_34dyas/Nov_26
Lb	Mgcl	Inc_30hrs/Oct_27	Inc_27hrs/Oct_28	-
Lb	Min	Inc_21hrs/Oct_27	-	-
