row	column	NT	Info
1	1	NT12235	
1	2	NT12534	
1	3	NT12256	
1	4	NT12536	
1	5	NT12236	
1	6	NT12535	
1	7	NT12278	
1	8	NT12534	
1	9	NT12237	
1	10	NT12536	
1	11	NT12617	
1	12	NT12560	
1	13	NT12238	
1	14	NT12537	
1	15	NT12252	
1	16	NT12551	
1	17	NT12239	
1	18	NT12538	
1	19	NT12272	
1	20	NT12600	
1	21	NT12240	
1	22	NT12539	
1	23	NT12284	
1	24	NT12582	
1	25	NT12241	
1	26	NT12540	
1	27	NT12260	
1	28	NT12579	
1	29	NT12242	
1	30	NT12541	
1	31	NT12269	
1	32	NT12016	
1	33	NT12243	
1	34	NT12542	
1	35	NT12005	
1	36	NT12017	
1	37	NT12244	
1	38	NT12543	
1	39	NT12257	
1	40	NT12018	
1	41	NT12245	
1	42	NT12544	
1	43	NT12460	
1	44	NT12593	
1	45	NT12246	
1	46	NT12545	
1	47	NT12275	
1	48	NT12553	
2	1	NT12235	
2	2	NT12534	
2	3	NT12256	
2	4	NT12536	
2	5	NT12236	
2	6	NT12535	
2	7	NT12278	
2	8	NT12534	
2	9	NT12237	
2	10	NT12536	
2	11	NT12617	
2	12	NT12560	
2	13	NT12238	
2	14	NT12537	
2	15	NT12252	
2	16	NT12551	
2	17	NT12239	
2	18	NT12538	
2	19	NT12272	
2	20	NT12600	
2	21	NT12240	
2	22	NT12539	
2	23	NT12284	
2	24	NT12582	
2	25	NT12241	
2	26	NT12540	
2	27	NT12260	
2	28	NT12579	
2	29	NT12242	
2	30	NT12541	
2	31	NT12269	
2	32	NT12036	
2	33	NT12243	
2	34	NT12542	
2	35	NT12025	
2	36	NT12037	
2	37	NT12244	
2	38	NT12543	
2	39	NT12257	
2	40	NT12038	
2	41	NT12245	
2	42	NT12544	
2	43	NT12460	
2	44	NT12593	
2	45	NT12246	
2	46	NT12545	
2	47	NT12275	
2	48	NT12553	
3	1	NT12027	
3	2	NT12533	
3	3	NT12254	
3	4	NT12575	
3	5	NT12026	
3	6	NT12020	
3	7	NT12268	
3	8	NT12564	
3	9	NT12025	
3	10	NT12019	
3	11	NT12006	
3	12	NT12544	
3	13	NT12024	
3	14	NT12018	
3	15	NT12292	
3	16	NT12586	
3	17	NT12023	
3	18	NT12017	
3	19	NT12251	
3	20	NT12546	
3	21	NT12022	
3	22	NT12016	
3	23	NT12280	
3	24	NT12545	
3	25	NT12021	
3	26	NT12015	
3	27	NT12237	
3	28	NT12576	
3	29	NT12705	
3	30	NT12014	
3	31	NT12462	
3	32	NT12013	
3	33	NT12704	
3	34	NT12013	
3	35	NT12452	
3	36	NT12562	
3	37	ATC14028	
3	38	NT12012	
3	39	NT12533	
3	40	NT12554	
3	41	LT2	
3	42	NT12011	
3	43	NT12244	
3	44	NT12543	
3	45	NT12619	
3	46	NT12010	
3	47	NT12290	
3	48	NT12561	
4	1	NT12027	
4	2	NT12533	
4	3	NT12254	
4	4	NT12575	
4	5	NT12026	
4	6	NT12040	
4	7	NT12268	
4	8	NT12564	
4	9	NT12025	
4	10	NT12039	
4	11	NT12026	
4	12	NT12544	
4	13	NT12024	
4	14	NT12038	
4	15	NT12292	
4	16	NT12586	
4	17	NT12023	
4	18	NT12037	
4	19	NT12251	
4	20	NT12546	
4	21	NT12022	
4	22	NT12036	
4	23	NT12280	
4	24	NT12545	
4	25	NT12021	
4	26	NT12035	
4	27	NT12237	
4	28	NT12576	
4	29	NT12705	
4	30	NT12034	
4	31	NT12462	
4	32	NT12033	
4	33	NT12704	
4	34	NT12033	
4	35	NT12452	
4	36	NT12562	
4	37	ATC14028	
4	38	NT12032	
4	39	NT12533	
4	40	NT12554	
4	41	LT2	
4	42	NT12031	
4	43	NT12244	
4	44	NT12543	
4	45	NT12619	
4	46	NT12030	
4	47	NT12290	
4	48	NT12561	
5	1	NT12247	
5	2	NT12546	
5	3	NT12247	
5	4	NT12008	
5	5	NT12248	
5	6	NT12547	
5	7	NT12445	
5	8	NT12597	
5	9	NT12249	
5	10	NT12548	
5	11	NT12531	
5	12	NT12010	
5	13	NT12250	
5	14	NT12549	
5	15	NT12450	
5	16	NT12563	
5	17	NT12251	
5	18	NT12550	
5	19	NT12271	
5	20	NT12596	
5	21	NT12252	
5	22	NT12551	
5	23	NT12458	
5	24	NT12578	
5	25	NT12253	
5	26	NT12552	
5	27	NT12264	
5	28	NT12540	
5	29	NT12254	
5	30	NT12553	
5	31	NT12263	
5	32	NT12533	
5	33	NT12255	
5	34	NT12554	
5	35	NT12255	
5	36	NT12584	
5	37	NT12256	
5	38	NT12555	
5	39	NT12446	
5	40	NT12550	
5	41	NT12257	
5	42	NT12556	
5	43	NT12276	
5	44	NT12580	
5	45	NT12258	
5	46	NT12557	
5	47	NT12249	
5	48	NT12572	
6	1	NT12247	
6	2	NT12546	
6	3	NT12247	
6	4	NT12028	
6	5	NT12248	
6	6	NT12547	
6	7	NT12445	
6	8	NT12597	
6	9	NT12249	
6	10	NT12548	
6	11	NT12531	
6	12	NT12030	
6	13	NT12250	
6	14	NT12549	
6	15	NT12450	
6	16	NT12563	
6	17	NT12251	
6	18	NT12550	
6	19	NT12271	
6	20	NT12596	
6	21	NT12252	
6	22	NT12551	
6	23	NT12458	
6	24	NT12578	
6	25	NT12253	
6	26	NT12552	
6	27	NT12264	
6	28	NT12540	
6	29	NT12254	
6	30	NT12553	
6	31	NT12263	
6	32	NT12533	
6	33	NT12255	
6	34	NT12554	
6	35	NT12255	
6	36	NT12584	
6	37	NT12256	
6	38	NT12555	
6	39	NT12446	
6	40	NT12550	
6	41	NT12257	
6	42	NT12556	
6	43	NT12276	
6	44	NT12580	
6	45	NT12258	
6	46	NT12557	
6	47	NT12249	
6	48	NT12572	
7	1	NT12618	
7	2	NT12009	
7	3	NT12451	
7	4	NT12535	
7	5	NT12617	
7	6	NT12008	
7	7	ATC14028	
7	8	NT12602	
7	9	NT12616	
7	10	NT12615	
7	11	LT2	
7	12	NT12611	
7	13	NT12533	
7	14	NT12614	
7	15	NT12243	
7	16	NT12595	
7	17	NT12532	
7	18	NT12613	
7	19	NT12238	
7	20	NT12557	
7	21	NT12531	
7	22	NT12612	
7	23	NT12449	
7	24	NT12555	
7	25	NT12462	
7	26	NT12611	
7	27	NT12444	
7	28	NT12541	
7	29	NT12461	
7	30	NT12610	
7	31	NT12248	
7	32	NT12607	
7	33	NT12460	
7	34	NT12609	
7	35	NT12242	
7	36	NT12614	
7	37	NT12459	
7	38	NT12608	
7	39	NT12241	
7	40	NT12605	
7	41	NT12458	
7	42	NT12607	
7	43	NT12001	
7	44	NT12547	
7	45	NT12457	
7	46	NT12606	
7	47	NT12532	
7	48	NT12608	
8	1	NT12618	
8	2	NT12029	
8	3	NT12451	
8	4	NT12535	
8	5	NT12617	
8	6	NT12028	
8	7	ATC14028	
8	8	NT12602	
8	9	NT12616	
8	10	NT12615	
8	11	LT2	
8	12	NT12611	
8	13	NT12533	
8	14	NT12614	
8	15	NT12243	
8	16	NT12595	
8	17	NT12532	
8	18	NT12613	
8	19	NT12238	
8	20	NT12557	
8	21	NT12531	
8	22	NT12612	
8	23	NT12449	
8	24	NT12555	
8	25	NT12462	
8	26	NT12611	
8	27	NT12444	
8	28	NT12541	
8	29	NT12461	
8	30	NT12610	
8	31	NT12248	
8	32	NT12607	
8	33	NT12460	
8	34	NT12609	
8	35	NT12242	
8	36	NT12614	
8	37	NT12459	
8	38	NT12608	
8	39	NT12241	
8	40	NT12605	
8	41	NT12458	
8	42	NT12607	
8	43	NT12021	
8	44	NT12547	
8	45	NT12457	
8	46	NT12606	
8	47	NT12532	
8	48	NT12608	
9	1	NT12259	
9	2	NT12558	
9	3	NT12285	
9	4	NT12585	
9	5	NT12260	
9	6	NT12559	
9	7	NT12261	
9	8	NT12570	
9	9	NT12261	
9	10	NT12560	
9	11	NT12274	
9	12	NT12011	
9	13	NT12262	
9	14	NT12561	
9	15	NT12240	
9	16	NT12610	
9	17	NT12263	
9	18	NT12562	
9	19	NT12282	
9	20	NT12599	
9	21	NT12264	
9	22	NT12563	
9	23	NT12447	
9	24	NT12577	
9	25	NT12265	
9	26	NT12564	
9	27	NT12618	
9	28	NT12014	
9	29	NT12266	
9	30	NT12565	
9	31	NT12277	
9	32	NT12542	
9	33	NT12267	
9	34	NT12566	
9	35	NT12448	
9	36	NT12613	
9	37	NT12268	
9	38	NT12567	
9	39	NT12286	
9	40	NT12566	
9	41	NT12269	
9	42	NT12568	
9	43	NT12007	
9	44	NT12558	
9	45	NT12270	
9	46	NT12569	
9	47	NT12259	
9	48	NT12574	
10	1	NT12259	
10	2	NT12558	
10	3	NT12285	
10	4	NT12585	
10	5	NT12260	
10	6	NT12559	
10	7	NT12261	
10	8	NT12570	
10	9	NT12261	
10	10	NT12560	
10	11	NT12274	
10	12	NT12031	
10	13	NT12262	
10	14	NT12561	
10	15	NT12240	
10	16	NT12610	
10	17	NT12263	
10	18	NT12562	
10	19	NT12282	
10	20	NT12599	
10	21	NT12264	
10	22	NT12563	
10	23	NT12447	
10	24	NT12577	
10	25	NT12265	
10	26	NT12564	
10	27	NT12618	
10	28	NT12034	
10	29	NT12266	
10	30	NT12565	
10	31	NT12277	
10	32	NT12542	
10	33	NT12267	
10	34	NT12566	
10	35	NT12448	
10	36	NT12613	
10	37	NT12268	
10	38	NT12567	
10	39	NT12286	
10	40	NT12566	
10	41	NT12269	
10	42	NT12568	
10	43	NT12027	
10	44	NT12558	
10	45	NT12270	
10	46	NT12569	
10	47	NT12259	
10	48	NT12574	
11	1	NT12456	
11	2	NT12605	
11	3	NT12293	
11	4	NT12615	
11	5	NT12455	
11	6	NT12604	
11	7	NT12246	
11	8	NT12569	
11	9	NT12454	
11	10	NT12603	
11	11	NT12253	
11	12	NT12587	
11	13	NT12453	
11	14	NT12602	
11	15	NT12239	
11	16	NT12598	
11	17	NT12452	
11	18	NT12601	
11	19	NT12288	
11	20	NT12573	
11	21	NT12451	
11	22	NT12600	
11	23	NT12279	
11	24	NT12548	
11	25	NT12450	
11	26	NT12599	
11	27	NT12281	
11	28	NT12606	
11	29	NT12449	
11	30	NT12598	
11	31	NT12266	
11	32	NT12581	
11	33	NT12448	
11	34	NT12597	
11	35	NT12455	
11	36	NT12590	
11	37	NT12447	
11	38	NT12596	
11	39	NT12453	
11	40	NT12591	
11	41	NT12446	
11	42	NT12595	
11	43	NT12267	
11	44	NT12009	
11	45	NT12445	
11	46	NT12594	
11	47	NT12619	
11	48	NT12567	
12	1	NT12456	
12	2	NT12605	
12	3	NT12293	
12	4	NT12615	
12	5	NT12455	
12	6	NT12604	
12	7	NT12246	
12	8	NT12569	
12	9	NT12454	
12	10	NT12603	
12	11	NT12253	
12	12	NT12587	
12	13	NT12453	
12	14	NT12602	
12	15	NT12239	
12	16	NT12598	
12	17	NT12452	
12	18	NT12601	
12	19	NT12288	
12	20	NT12573	
12	21	NT12451	
12	22	NT12600	
12	23	NT12279	
12	24	NT12548	
12	25	NT12450	
12	26	NT12599	
12	27	NT12281	
12	28	NT12606	
12	29	NT12449	
12	30	NT12598	
12	31	NT12266	
12	32	NT12581	
12	33	NT12448	
12	34	NT12597	
12	35	NT12455	
12	36	NT12590	
12	37	NT12447	
12	38	NT12596	
12	39	NT12453	
12	40	NT12591	
12	41	NT12446	
12	42	NT12595	
12	43	NT12267	
12	44	NT12029	
12	45	NT12445	
12	46	NT12594	
12	47	NT12619	
12	48	NT12567	
13	1	NT12271	
13	2	NT12570	
13	3	NT12283	
13	4	NT12571	
13	5	NT12272	
13	6	NT12571	
13	7	NT12250	
13	8	NT12556	
13	9	NT12273	
13	10	NT12572	
13	11	NT12454	
13	12	NT12012	
13	13	NT12274	
13	14	NT12573	
13	15	NT12705	
13	16	NT12589	
13	17	NT12275	
13	18	NT12574	
13	19	NT12457	
13	20	NT12559	
13	21	NT12276	
13	22	NT12575	
13	23	NT12262	
13	24	NT12583	
13	25	NT12277	
13	26	NT12576	
13	27	NT12704	
13	28	NT12015	
13	29	NT12278	
13	30	NT12577	
13	31	NT12004	
13	32	NT12612	
13	33	NT12279	
13	34	NT12578	
13	35	NT12287	
13	36	NT12539	
13	37	NT12280	
13	38	NT12579	
13	39	NT12235	
13	40	NT12594	
13	41	NT12281	
13	42	NT12580	
13	43	NT12289	
13	44	NT12538	
13	45	NT12282	
13	46	NT12581	
13	47	NT12273	
13	48	NT12019	
14	1	NT12271	
14	2	NT12570	
14	3	NT12283	
14	4	NT12571	
14	5	NT12272	
14	6	NT12571	
14	7	NT12250	
14	8	NT12556	
14	9	NT12273	
14	10	NT12572	
14	11	NT12454	
14	12	NT12032	
14	13	NT12274	
14	14	NT12573	
14	15	NT12705	
14	16	NT12589	
14	17	NT12275	
14	18	NT12574	
14	19	NT12457	
14	20	NT12559	
14	21	NT12276	
14	22	NT12575	
14	23	NT12262	
14	24	NT12583	
14	25	NT12277	
14	26	NT12576	
14	27	NT12704	
14	28	NT12035	
14	29	NT12278	
14	30	NT12577	
14	31	NT12024	
14	32	NT12612	
14	33	NT12279	
14	34	NT12578	
14	35	NT12287	
14	36	NT12539	
14	37	NT12280	
14	38	NT12579	
14	39	NT12235	
14	40	NT12594	
14	41	NT12281	
14	42	NT12580	
14	43	NT12289	
14	44	NT12538	
14	45	NT12282	
14	46	NT12581	
14	47	NT12273	
14	48	NT12039	
15	1	NT12444	
15	2	NT12593	
15	3	NT12456	
15	4	NT12020	
15	5	NT12293	
15	6	NT12592	
15	7	NT12265	
15	8	NT12603	
15	9	NT12292	
15	10	NT12591	
15	11	NT12461	
15	12	NT12552	
15	13	NT12291	
15	14	NT12590	
15	15	NT12459	
15	16	NT12549	
15	17	NT12290	
15	18	NT12589	
15	19	NT12258	
15	20	NT12609	
15	21	NT12289	
15	22	NT12588	
15	23	NT12616	
15	24	NT12568	
15	25	NT12288	
15	26	NT12587	
15	27	NT12003	
15	28	NT12601	
15	29	NT12287	
15	30	NT12586	
15	31	NT12002	
15	32	NT12588	
15	33	NT12286	
15	34	NT12585	
15	35	NT12291	
15	36	NT12537	
15	37	NT12285	
15	38	NT12584	
15	39	NT12236	
15	40	NT12592	
15	41	NT12284	
15	42	NT12583	
15	43	NT12245	
15	44	NT12565	
15	45	NT12283	
15	46	NT12582	
15	47	NT12270	
15	48	NT12604	
16	1	NT12444	
16	2	NT12593	
16	3	NT12456	
16	4	NT12040	
16	5	NT12293	
16	6	NT12592	
16	7	NT12265	
16	8	NT12603	
16	9	NT12292	
16	10	NT12591	
16	11	NT12461	
16	12	NT12552	
16	13	NT12291	
16	14	NT12590	
16	15	NT12459	
16	16	NT12549	
16	17	NT12290	
16	18	NT12589	
16	19	NT12258	
16	20	NT12609	
16	21	NT12289	
16	22	NT12588	
16	23	NT12616	
16	24	NT12568	
16	25	NT12288	
16	26	NT12587	
16	27	NT12023	
16	28	NT12601	
16	29	NT12287	
16	30	NT12586	
16	31	NT12022	
16	32	NT12588	
16	33	NT12286	
16	34	NT12585	
16	35	NT12291	
16	36	NT12537	
16	37	NT12285	
16	38	NT12584	
16	39	NT12236	
16	40	NT12592	
16	41	NT12284	
16	42	NT12583	
16	43	NT12245	
16	44	NT12565	
16	45	NT12283	
16	46	NT12582	
16	47	NT12270	
16	48	NT12604	
17	1	NT12283	
17	2	NT12582	
17	3	NT12270	
17	4	NT12604	
17	5	NT12284	
17	6	NT12583	
17	7	NT12245	
17	8	NT12565	
17	9	NT12285	
17	10	NT12584	
17	11	NT12236	
17	12	NT12592	
17	13	NT12286	
17	14	NT12585	
17	15	NT12291	
17	16	NT12537	
17	17	NT12287	
17	18	NT12586	
17	19	NT12002	
17	20	NT12588	
17	21	NT12288	
17	22	NT12587	
17	23	NT12003	
17	24	NT12601	
17	25	NT12289	
17	26	NT12588	
17	27	NT12616	
17	28	NT12568	
17	29	NT12290	
17	30	NT12589	
17	31	NT12258	
17	32	NT12609	
17	33	NT12291	
17	34	NT12590	
17	35	NT12459	
17	36	NT12549	
17	37	NT12292	
17	38	NT12591	
17	39	NT12461	
17	40	NT12552	
17	41	NT12293	
17	42	NT12592	
17	43	NT12265	
17	44	NT12603	
17	45	NT12444	
17	46	NT12593	
17	47	NT12456	
17	48	NT12020	
18	1	NT12283	
18	2	NT12582	
18	3	NT12270	
18	4	NT12604	
18	5	NT12284	
18	6	NT12583	
18	7	NT12245	
18	8	NT12565	
18	9	NT12285	
18	10	NT12584	
18	11	NT12236	
18	12	NT12592	
18	13	NT12286	
18	14	NT12585	
18	15	NT12291	
18	16	NT12537	
18	17	NT12287	
18	18	NT12586	
18	19	NT12022	
18	20	NT12588	
18	21	NT12288	
18	22	NT12587	
18	23	NT12023	
18	24	NT12601	
18	25	NT12289	
18	26	NT12588	
18	27	NT12616	
18	28	NT12568	
18	29	NT12290	
18	30	NT12589	
18	31	NT12258	
18	32	NT12609	
18	33	NT12291	
18	34	NT12590	
18	35	NT12459	
18	36	NT12549	
18	37	NT12292	
18	38	NT12591	
18	39	NT12461	
18	40	NT12552	
18	41	NT12293	
18	42	NT12592	
18	43	NT12265	
18	44	NT12603	
18	45	NT12444	
18	46	NT12593	
18	47	NT12456	
18	48	NT12040	
19	1	NT12282	
19	2	NT12581	
19	3	NT12273	
19	4	NT12019	
19	5	NT12281	
19	6	NT12580	
19	7	NT12289	
19	8	NT12538	
19	9	NT12280	
19	10	NT12579	
19	11	NT12235	
19	12	NT12594	
19	13	NT12279	
19	14	NT12578	
19	15	NT12287	
19	16	NT12539	
19	17	NT12278	
19	18	NT12577	
19	19	NT12004	
19	20	NT12612	
19	21	NT12277	
19	22	NT12576	
19	23	NT12704	
19	24	NT12015	
19	25	NT12276	
19	26	NT12575	
19	27	NT12262	
19	28	NT12583	
19	29	NT12275	
19	30	NT12574	
19	31	NT12457	
19	32	NT12559	
19	33	NT12274	
19	34	NT12573	
19	35	NT12705	
19	36	NT12589	
19	37	NT12273	
19	38	NT12572	
19	39	NT12454	
19	40	NT12012	
19	41	NT12272	
19	42	NT12571	
19	43	NT12250	
19	44	NT12556	
19	45	NT12271	
19	46	NT12570	
19	47	NT12283	
19	48	NT12571	
20	1	NT12282	
20	2	NT12581	
20	3	NT12273	
20	4	NT12039	
20	5	NT12281	
20	6	NT12580	
20	7	NT12289	
20	8	NT12538	
20	9	NT12280	
20	10	NT12579	
20	11	NT12235	
20	12	NT12594	
20	13	NT12279	
20	14	NT12578	
20	15	NT12287	
20	16	NT12539	
20	17	NT12278	
20	18	NT12577	
20	19	NT12024	
20	20	NT12612	
20	21	NT12277	
20	22	NT12576	
20	23	NT12704	
20	24	NT12035	
20	25	NT12276	
20	26	NT12575	
20	27	NT12262	
20	28	NT12583	
20	29	NT12275	
20	30	NT12574	
20	31	NT12457	
20	32	NT12559	
20	33	NT12274	
20	34	NT12573	
20	35	NT12705	
20	36	NT12589	
20	37	NT12273	
20	38	NT12572	
20	39	NT12454	
20	40	NT12032	
20	41	NT12272	
20	42	NT12571	
20	43	NT12250	
20	44	NT12556	
20	45	NT12271	
20	46	NT12570	
20	47	NT12283	
20	48	NT12571	
21	1	NT12445	
21	2	NT12594	
21	3	NT12619	
21	4	NT12567	
21	5	NT12446	
21	6	NT12595	
21	7	NT12267	
21	8	NT12009	
21	9	NT12447	
21	10	NT12596	
21	11	NT12453	
21	12	NT12591	
21	13	NT12448	
21	14	NT12597	
21	15	NT12455	
21	16	NT12590	
21	17	NT12449	
21	18	NT12598	
21	19	NT12266	
21	20	NT12581	
21	21	NT12450	
21	22	NT12599	
21	23	NT12281	
21	24	NT12606	
21	25	NT12451	
21	26	NT12600	
21	27	NT12279	
21	28	NT12548	
21	29	NT12452	
21	30	NT12601	
21	31	NT12288	
21	32	NT12573	
21	33	NT12453	
21	34	NT12602	
21	35	NT12239	
21	36	NT12598	
21	37	NT12454	
21	38	NT12603	
21	39	NT12253	
21	40	NT12587	
21	41	NT12455	
21	42	NT12604	
21	43	NT12246	
21	44	NT12569	
21	45	NT12456	
21	46	NT12605	
21	47	NT12293	
21	48	NT12615	
22	1	NT12445	
22	2	NT12594	
22	3	NT12619	
22	4	NT12567	
22	5	NT12446	
22	6	NT12595	
22	7	NT12267	
22	8	NT12029	
22	9	NT12447	
22	10	NT12596	
22	11	NT12453	
22	12	NT12591	
22	13	NT12448	
22	14	NT12597	
22	15	NT12455	
22	16	NT12590	
22	17	NT12449	
22	18	NT12598	
22	19	NT12266	
22	20	NT12581	
22	21	NT12450	
22	22	NT12599	
22	23	NT12281	
22	24	NT12606	
22	25	NT12451	
22	26	NT12600	
22	27	NT12279	
22	28	NT12548	
22	29	NT12452	
22	30	NT12601	
22	31	NT12288	
22	32	NT12573	
22	33	NT12453	
22	34	NT12602	
22	35	NT12239	
22	36	NT12598	
22	37	NT12454	
22	38	NT12603	
22	39	NT12253	
22	40	NT12587	
22	41	NT12455	
22	42	NT12604	
22	43	NT12246	
22	44	NT12569	
22	45	NT12456	
22	46	NT12605	
22	47	NT12293	
22	48	NT12615	
23	1	NT12270	
23	2	NT12569	
23	3	NT12259	
23	4	NT12574	
23	5	NT12269	
23	6	NT12568	
23	7	NT12007	
23	8	NT12558	
23	9	NT12268	
23	10	NT12567	
23	11	NT12286	
23	12	NT12566	
23	13	NT12267	
23	14	NT12566	
23	15	NT12448	
23	16	NT12613	
23	17	NT12266	
23	18	NT12565	
23	19	NT12277	
23	20	NT12542	
23	21	NT12265	
23	22	NT12564	
23	23	NT12618	
23	24	NT12014	
23	25	NT12264	
23	26	NT12563	
23	27	NT12447	
23	28	NT12577	
23	29	NT12263	
23	30	NT12562	
23	31	NT12282	
23	32	NT12599	
23	33	NT12262	
23	34	NT12561	
23	35	NT12240	
23	36	NT12610	
23	37	NT12261	
23	38	NT12560	
23	39	NT12274	
23	40	NT12011	
23	41	NT12260	
23	42	NT12559	
23	43	NT12261	
23	44	NT12570	
23	45	NT12259	
23	46	NT12558	
23	47	NT12285	
23	48	NT12585	
24	1	NT12270	
24	2	NT12569	
24	3	NT12259	
24	4	NT12574	
24	5	NT12269	
24	6	NT12568	
24	7	NT12027	
24	8	NT12558	
24	9	NT12268	
24	10	NT12567	
24	11	NT12286	
24	12	NT12566	
24	13	NT12267	
24	14	NT12566	
24	15	NT12448	
24	16	NT12613	
24	17	NT12266	
24	18	NT12565	
24	19	NT12277	
24	20	NT12542	
24	21	NT12265	
24	22	NT12564	
24	23	NT12618	
24	24	NT12034	
24	25	NT12264	
24	26	NT12563	
24	27	NT12447	
24	28	NT12577	
24	29	NT12263	
24	30	NT12562	
24	31	NT12282	
24	32	NT12599	
24	33	NT12262	
24	34	NT12561	
24	35	NT12240	
24	36	NT12610	
24	37	NT12261	
24	38	NT12560	
24	39	NT12274	
24	40	NT12031	
24	41	NT12260	
24	42	NT12559	
24	43	NT12261	
24	44	NT12570	
24	45	NT12259	
24	46	NT12558	
24	47	NT12285	
24	48	NT12585	
25	1	NT12457	
25	2	NT12606	
25	3	NT12532	
25	4	NT12608	
25	5	NT12458	
25	6	NT12607	
25	7	NT12001	
25	8	NT12547	
25	9	NT12459	
25	10	NT12608	
25	11	NT12241	
25	12	NT12605	
25	13	NT12460	
25	14	NT12609	
25	15	NT12242	
25	16	NT12614	
25	17	NT12461	
25	18	NT12610	
25	19	NT12248	
25	20	NT12607	
25	21	NT12462	
25	22	NT12611	
25	23	NT12444	
25	24	NT12541	
25	25	NT12531	
25	26	NT12612	
25	27	NT12449	
25	28	NT12555	
25	29	NT12532	
25	30	NT12613	
25	31	NT12238	
25	32	NT12557	
25	33	NT12533	
25	34	NT12614	
25	35	NT12243	
25	36	NT12595	
25	37	NT12616	
25	38	NT12615	
25	39	LT2	
25	40	NT12611	
25	41	NT12617	
25	42	NT12008	
25	43	ATC14028	
25	44	NT12602	
25	45	NT12618	
25	46	NT12009	
25	47	NT12451	
25	48	NT12535	
26	1	NT12457	
26	2	NT12606	
26	3	NT12532	
26	4	NT12608	
26	5	NT12458	
26	6	NT12607	
26	7	NT12021	
26	8	NT12547	
26	9	NT12459	
26	10	NT12608	
26	11	NT12241	
26	12	NT12605	
26	13	NT12460	
26	14	NT12609	
26	15	NT12242	
26	16	NT12614	
26	17	NT12461	
26	18	NT12610	
26	19	NT12248	
26	20	NT12607	
26	21	NT12462	
26	22	NT12611	
26	23	NT12444	
26	24	NT12541	
26	25	NT12531	
26	26	NT12612	
26	27	NT12449	
26	28	NT12555	
26	29	NT12532	
26	30	NT12613	
26	31	NT12238	
26	32	NT12557	
26	33	NT12533	
26	34	NT12614	
26	35	NT12243	
26	36	NT12595	
26	37	NT12616	
26	38	NT12615	
26	39	LT2	
26	40	NT12611	
26	41	NT12617	
26	42	NT12028	
26	43	ATC14028	
26	44	NT12602	
26	45	NT12618	
26	46	NT12029	
26	47	NT12451	
26	48	NT12535	
27	1	NT12258	
27	2	NT12557	
27	3	NT12249	
27	4	NT12572	
27	5	NT12257	
27	6	NT12556	
27	7	NT12276	
27	8	NT12580	
27	9	NT12256	
27	10	NT12555	
27	11	NT12446	
27	12	NT12550	
27	13	NT12255	
27	14	NT12554	
27	15	NT12255	
27	16	NT12584	
27	17	NT12254	
27	18	NT12553	
27	19	NT12263	
