A22-C1,A22,0p5UM
A22-C2,A22,1UM
A22-C3,A22,2p5UM
A22-C4,A22,5UM
AM-C1,Amoxicillin,0p25UM
AM-C2,Amoxicillin,0p5UM
AM-C3,Amoxicillin,1UM
AM-C4,Amoxicillin,4UM
Amk-Prc,Amikacin,Procaine
Bzk-Clx,Benzalkonium,Chlorhexidine
Bzk-Min,Benzalkonium,Minocycline
Bzk-PlB,Benzalkonium,PolymixinB
Bzk-Prc,Benzalkonium,Procaine
Cef-Amx,Cefsulodin,Amoxicillin
Cef-Azt,Cefsulodin,Axtreonam
Cef-Cfc,Cefsulodin,Cefaclor
Cef-Cft,Cefsulodin,Cefotaxime
Cef-Im,Cefsulodin,Imipenem
Cef-Mcl,Cefsulodin,Mecillinam
Cef-Ppr,Cefsulodin,Piperacillin
CI-C1,Ciprofloxacin,0p001UM
CI-C2,Ciprofloxacin,0p004UM
Cld-Tmt,Clindamycin,Trimethoprim
Cm-Ert,Chloramphenicol,Erythromycin
Cm-Rfm,Chloramphenicol,Rifampicin
Cyd-Cef,CycloserineD,Cefsulodin
Dox-Crt,Doxycycline,Clarithromycin
Dox-Ffm,Doxycycline,Fosfomycin
Dox-Mcl,Doxycycline,Mecillinam
Dox-Pms,Doxycycline,PMS
Dox-Pq,Doxycycline,Paraquat
Dox-Py,Doxycycline,Pyocyanin
Dox-Van,Doxycycline,Vanillin
Fsa-Van,FusidicAcid,Vanillin
Fu-Bs,Fumarate,BileSalts
Fu-Pq,Fumarate,Paraquat
Fu-Uv,Fumarate,UV
Kno-Bs,NitrateK,BileSalts
Kno-Pq,NitrateK,Paraquat
Kno-Uv,NitrateK,UV
Lb-4as,AminoSalicilicAcid,100
Lb-5br,Bromodeoxyuridine,200
Lb-5sf,SulfosalicylicAcid,150
Lb-A22,A22,1
Lb-Art,Articaine,100
Lb-Bbn,Berberine,50
Lb-Bl,Bleach,0p01
Lb-Bp,Bipyridyl,200
Lb-Bs,BileSalts,0p05
Lb-Bzk,Benzalkonium,25
Lb-Cbz,Carbamazepine,100
Lb-Cccp,CCCP,2
Lb-Cef,Cefsulodin,24
Lb-Chir,CHIR,0p05
Lb-Cld,Clindamycin,3
Lb-Clx,Chlorhexidine,0p8
Lb-Cnx,Cinoxacin,1p5
Lb-Com,ColicinM,0p4
Lb-Cph,Cephalexin,16
Lb-Cpt,Cephalotin,4
Lb-Cum,Cumene,25
Lb-Dox,Doxorubicin,20
Lb-Dpa,PentaaceticAcid,15
Lb-Fu,Fumarate,40mM
Lb-G418,G418Sulfate,1p6
Lb-Gra,Gramidicin,20
Lb-Im,Imipenem,0p4
Lb-Kno,NitrateK,40mM
Lb-Lid,Lidocaine,100
Lb-Mcl,Mecillinam,0p09
Lb-MetA,Metformin,100mM
Lb-MetB,Metformin,80mM
Lb-MetC,Metformin,60mM
Lb-MetD,Metformin,40mM
Lb-Mgcl,MgCl2,300uM
Lb-Min,Minocycline,0p2
Lb-Mpn,Meropenem,0p03
Lb-Non,Nonactin,30
Lb-Ntf,Nitrofurantoin,1p5
Lb-PeG,PenicillinG,30
Lb-Phf,Phenformin,2p5mM
Lb-PIP,Piperacillin,32
